,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
2070,50.44418042,28.66892883,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Декабристів 2,так,Кафе/ресторан,41c9365f,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2071,50.59491501,28.44370677,Житомирська,Житомирський,Хорошівська,селищна територіальна громада,селище міського типу,Хорошів,вул. Гроїв України 24А,так,Кафе/ресторан,0f64951b,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2072,50.59534238,28.44408892,Житомирська,Житомирський,Хорошівська,селищна територіальна громада,селище міського типу,Хорошів,вул. Незалежності 1,так,Кафе/ресторан,c6374244,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2073,50.59804338,28.44713189,Житомирська,Житомирський,Хорошівська,селищна територіальна громада,селище міського типу,Хорошів,вул. Гроїв України 25,так,Кафе/ресторан,b43b8eb9,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2074,50.57406991,28.64139645,Житомирська,Житомирський,Хорошівська,селищна територіальна громада,село,Топорище,вул. Житомирська 65,так,Кафе/ресторан,ff92c682,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2075,50.45157794,28.67015759,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Володимирська 13,так,Кафе/ресторан,8dccb19e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2076,48.6378599,31.64519,Кіровоградська,Новоукраїнський,Маловисківська,міська територіальна громада,місто,Мала Виска,вул.  Центральна 69,так,Магазин,ff80584d,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2077,48.33800882,31.52911505,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,місто,Новоукраїнка,вул. Вороного 83,так,Магазин,f7cd78ae,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2078,48.38791215,31.17813923,Кіровоградська,Новоукраїнський,Добровеличківська,селищна територіальна громада,селище міського типу,Добровеличківка,вул. Центральна 104,так,Магазин,62b89c38,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2079,48.3411476,30.226328,Кіровоградська,Голованівський,Благовіщенська,міська територіальна громада,місто,Благовіщенське,вул.  Героїв України 21/17,так,Магазин,3dc20950,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2080,48.2439463,31.41196728,Кіровоградська,Новоукраїнський,Помічнянська,міська територіальна громада,місто,Помічна,вул.  Перемоги 85,так,Магазин,1649f6ba,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2081,48.3367137,29.8686351,Кіровоградська,Голованівський,Гайворонська,міська територіальна громада,місто,Гайворон,вул.  Василя Стуса 29,так,Магазин,4516261a,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
