,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
107,49.661159,26.992089,Хмельницька, , , , , ,"м.Красилів, вул.Грушевського, 140",ні,Аптека,FR00031,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
108,49.654153,26.975573,Хмельницька, , , , , ,"м.Красилів, вул.Грушевського, 84",ні,Аптека,FR00032,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
109,50.760651,25.356955,Волинська, , , , , ,"м.Луцьк, вул.Кравчука, 32-А",ні,Аптека,FR00033,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
110,50.719772,25.307919,Волинська, , , , , ,"м.Луцьк, вул.Станіславського, 50",ні,Аптека,FR00034,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
111,50.729838,25.300547,Волинська, , , , , ,"м.Луцьк, вул.Тімірязєва, 1 онколікарня 2-й поверх",ні,Аптека,FR00035,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
112,50.753145,25.332221,Волинська, , , , , ,"м.Луцьк, просп.В.Мойсея, 2 зупинка Укртелеком",ні,Аптека,FR00036,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
113,50.76322,25.367899,Волинська, , , , , ,"м.Луцьк, просп.Соборності, 20-В зупинка маг. Салют",ні,Аптека,FR00037,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
114,49.81364,24.07306,Львівська, , , , , ,"м.Львів, вул.Вашингтона, 8 ТЦ МЕТРО",ні,Аптека,FR00038,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
115,49.83993,24.03175,Львівська, , , , , ,"м.Львів, вул.Галицька, 19",ні,Аптека,FR00039,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
116,49.829252,23.958747,Львівська, , , , , ,"м.Львів, вул.Городоцька, 218",ні,Аптека,FR00040,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
117,49.82297,23.91592,Львівська, , , , , ,"м.Львів, вул.Городоцька, 300 ТЦ МЕТРО",ні,Аптека,FR00041,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
118,49.87115,24.05324,Львівська, , , , , ,"м.Львів, вул.Грінченка, 5",ні,Аптека,FR00042,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
119,49.84136,24.01908,Львівська, , , , , ,"м.Львів, вул.Івана Огієнка, 10",ні,Аптека,FR00043,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
120,49.828651,24.033341,Львівська, , , , , ,"м.Львів, вул.Івана Франка, 87",ні,Аптека,FR00044,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
121,49.83276,24.01034,Львівська, , , , , ,"м.Львів, вул.Київська, 9",ні,Аптека,FR00045,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
122,49.816566,24.002369,Львівська, , , , , ,"м.Львів, вул.Княгині Ольги, 100-К ЖК Добра Оселя",ні,Аптека,FR00046,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
123,49.83614,24.06965,Львівська, , , , , ,"м.Львів, вул.Личаківська, 187",ні,Аптека,FR00047,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
124,49.82344,23.95995,Львівська, , , , , ,"м.Львів, вул.Патона, 4/1",ні,Аптека,FR00048,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
125,49.78825,24.0174,Львівська, , , , , ,"м.Львів, вул.Стрийська, 107",ні,Аптека,FR00049,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
